track_name,artist,album,release_date,language,danceability,energy,valence,tempo,speechiness,acousticness
Raga Anandi,Sharafat Hussain Khan,Hindi Classical,1970,Hindi,0.367,0.313,0.205,118.898,0.0574,0.87
Open,Alam Khan,Vignettes,2017-05-19,Hindi,0.274,0.122,0.0397,79.865,0.03,0.89
Raga Bhairavi,Sharafat Hussain Khan,Hindi Classical,1970,Hindi,0.39,0.206,0.271,151.399,0.0597,0.846
Minuet in D Major,Purbayan Chatterjee,Classicool,2023-08-07,Hindi,0.577,0.503,0.674,135.933,0.0279,0.885
Classical South Indian Music,Hatha Kivi,Hindi Bansuri Flute Songs: Instrumental Calming Music for Yoga,2021-04-12,Hindi,0.276,0.418,0.0598,80.133,0.04,0.859
Raga desh : Alap,Amjad Ali Khan,Romancing the Rains,2010-11-22,Hindi,0.514,0.00672,0.231,75.219,0.0523,0.911
Classical Cello Music and Nature Sounds,Asia Hindi,"Meditations for Relaxation - Peaceful Music with Relaxing Sounds of Nature for Zen and Balance, Soothing Music for Healthy Living and Asian Meditation",2017-01-31,Hindi,0.086,0.141,0.038,168.222,0.0455,0.773
If,Niladri Kumar,If,2003-06-09,Hindi,0.286,0.254,0.253,131.206,0.0311,0.986
गुरु पूर्णिमा के भजन (Guru Purnima Bhajan),Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.148,0.195,0.371,137.008,0.0428,0.893
Three Ragas - Bhupali,Amjad Ali Khan,Samaagam,2011-05-10,Hindi,0.578,0.172,0.312,129.777,0.0563,0.834
उपोसथ (Uposatha),Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.549,0.498,0.157,116.992,0.0282,0.731
Raghupati,Niladri Kumar,Raghupati,2021-05-29,Hindi,0.339,0.56,0.238,74.906,0.0341,0.817
गुरु पूर्णिमा Guru Purnima 2023,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.642,0.684,0.807,115.045,0.0342,0.0863
Bhairavi,Amjad Ali Khan,Instrumental India,2003-01-01,Hindi,0.417,0.194,0.223,159.621,0.0525,0.623
गुरु पूर्णिमा पर कविता,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.535,0.444,0.265,157.727,0.0315,0.623
Calcutta City,Amjad Ali Khan,Moksha,2004,Hindi,0.297,0.679,0.497,164.558,0.0371,0.788
Melody Of Reverence,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.528,0.389,0.158,126.759,0.0302,0.625
Raag Jhinjhoti,Arnab Chakrabarty,De-Stress Refresh,2006-01-01,Hindi,0.504,0.0113,0.158,76.047,0.0461,0.992
Celestial Wisdom,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.606,0.846,0.924,113.076,0.0279,0.0713
Piloo,Vilayat Khan,Instrumental India,2003-01-01,Hindi,0.404,0.28,0.504,97.061,0.0359,0.808
Sadhguru,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.248,0.372,0.0977,129.895,0.0318,0.728
Sadra in Sankara Karan,Ali Akbar Khan,Legacy,1996,Hindi,0.451,0.211,0.235,165.625,0.0705,0.932
Guru–Shishya,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.298,0.502,0.265,80.729,0.0263,0.187
Bhimpalasri Alap,Nikhil Banerjee,Afternoon Ragas,1970-01-01,Hindi,0.261,0.0359,0.288,105.831,0.0318,0.885
Satsang Symphony,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.516,0.444,0.163,134.102,0.0277,0.641
Hori in Kukubh Bilawal,Ali Akbar Khan,Legacy,1996,Hindi,0.341,0.178,0.177,128.382,0.0321,0.966
Art Of Living,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.587,0.751,0.758,95.839,0.0278,0.0582
Raga Jhinjhoti - Alap,Satish Vyas,Cutting Edge,2009-06-01,Hindi,0.309,0.113,0.0514,88.298,0.0368,0.815
Harmonic Guru Devotion,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.666,0.623,0.503,132.618,0.0302,0.717
Ragmala,Rais Khan,Rag-Rang,1995,Hindi,0.309,0.141,0.0811,131.096,0.0325,0.953
गुरु+पूर्णिमा,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.611,0.293,0.231,86.859,0.0247,0.699
"Raga Todi/Khayal,""Aaj more mana lago langarawa"": Tala - Teental",Bhimsen Joshi,Indian Classical Music,1987,Hindi,0.197,0.217,0.227,173.201,0.0423,0.742
Blissful Guru Puja,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.46,0.298,0.0654,153.406,0.0266,0.866
Raga Tilak Kamodi,Vishwa Mohan Bhatt,Guitar A La Hindustan,1992-03-12,Hindi,0.332,0.522,0.289,84.896,0.05,0.759
गुरु पूर्णिमा भजन,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.177,0.318,0.411,132.803,0.0404,0.85
Bahar,Buddhadev DasGupta,The Raga Guide,1999-08-10,Hindi,0.466,0.484,0.115,133.326,0.0386,0.798
Kab Hai,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,Hindi,0.646,0.646,0.663,124.602,0.0267,0.78
Rag Bhupali,Sultan Khan,Ustad Sultan Khan - Sarangi,1991-01-01,Hindi,0.271,0.15,0.307,83.63,0.059,0.819
Baiyan Na Dharo,Lata Mangeshkar,Hindi Film Classical Songs,2023-10-27,Hindi,0.287,0.666,0.634,166.635,0.0984,0.88
Multani Alap,Nikhil Banerjee,Afternoon Ragas,1970-01-01,Hindi,0.18,0.0439,0.0385,70.574,0.0314,0.926
Kuhu Kuhu Bole Koyalia,Lata Mangeshkar,Hindi Film Classical Songs,2023-10-27,Hindi,0.549,0.153,0.739,107.034,0.19,0.987
Raga Mishra Khamaj: Tala - Keherwa - Teental,Hariprasad Chaurasia,Indian Classical Music,1987,Hindi,0.372,0.168,0.348,98.875,0.0404,0.979
Ja Re Badra Bairi Ja,Lata Mangeshkar,Hindi Film Classical Songs,2023-10-27,Hindi,0.725,0.289,0.725,113.962,0.0717,0.962
"Ragas, Ahir Lalit",Ravi Shankar,Classical Instrumental SITAR,2024-05-17,Hindi,0.285,0.819,0.553,138.181,0.0574,0.697
