track_name,artist,album,release_date,spotify_uri,language,danceability,energy,valence,tempo,speechiness,acousticness
Hip Hop,Emcee Hero,Hope,2024-09-05,spotify:track:4jJkkUBlBPejlywVhra9jt,English,0.698,0.724,0.369,141.326,0.291,0.345
Hip-Hop,Ryze Hendricks,Hip-Hop,2022-09-23,spotify:track:6MUtaEeMJ9K2y1KsFuOI2Q,English,0.714,0.874,0.686,128.434,0.441,0.0653
Hip Hop Junkies,Nice & Smooth,Ain't A Damn Thing Changed,1991-01-01,spotify:track:3KKrZ3adgWcJiJQWFqoDnv,English,0.926,0.427,0.634,98.73,0.115,0.0258
Hip Hop Police,Chamillionaire,Hip Hop Police,2007-01-01,spotify:track:0JPzG00AY7hNVu8sauadAu,English,0.817,0.919,0.747,97.99,0.187,0.0635
Hip-Hop,X-Boxin,9,2019-02-27,spotify:track:1fUM4D1TLFpsNgjuWLHb2u,English,0.802,0.827,0.829,163.876,0.356,0.00895
Hip Hop (Caminaré),Santa Fe Klan,Bendecido,2019-06-26,spotify:track:4ciXokhIdlyhCh3tA5zo5P,English,0.803,0.745,0.619,82.75,0.347,0.0354
Hip-Hop - Radio Version,Dead Prez,It's Bigger Than Hip-Hop,2000-02-08,spotify:track:1VpaGT3qRCT4jaqYw7o9IH,English,0.73,0.577,0.352,77.121,0.43,0.0106
Hip-Hop,Boombox,Все включено,2010,spotify:track:2jh8ESkNJqSnhub71qDEuW,English,0.692,0.819,0.669,140.075,0.115,0.00875
Hip Hop Kids,Portugal. The Man,Evil Friends,2013-05-31,spotify:track:3LBBeej1zGctWlJNpNa4I6,English,0.433,0.782,0.498,94.995,0.0363,0.0108
Hip-Hop,Trap Fray,Lets Not Forget!,2022-09-01,spotify:track:0KYmeAHNa1QU4bFll5HoNu,English,0.914,0.382,0.076,90.007,0.223,0.0302
Hip Hop Is Dead,Nas,Hip Hop Is Dead (Expanded Edition),2007-01-23,spotify:track:5z37OkOEzss0a6F5bxjlkS,English,0.762,0.742,0.608,110.85,0.211,0.0145
Hip Hop Hooray (feat. Webbie),Boosie Badazz,Touch Down 2 Cause Hell,2015-05-26,spotify:track:7qJJWRw5uqXvZLkpMeNjQb,English,0.706,0.646,0.713,161.05,0.33,0.0659
Hip-Hop,La Etnnia,Real,2004-07-02,spotify:track:6m1mXVuMj6qy8JbttYCgpk,English,0.926,0.688,0.517,96.001,0.199,0.0253
Hip Hopper (feat. Lil Yachty),Blac Youngsta,Hip Hopper (feat. Lil Yachty),2017-04-28,spotify:track:7JsoM9xf0Uc8tTHVnkVOio,English,0.931,0.517,0.45,129.111,0.446,0.00162
HIP HOP CELEBRATION ACAPELLA AND HIP HOP SCRATCHES,FRANK MULLAH,HIP HOP CELEBRATION ACAPELLA AND HIP HOP SCRATCHES,2023-10-14,spotify:track:2eiCHjzDvoWJflkpdMLE1r,English,0.577,0.997,0.0347,83.042,0.647,0.681
