track_name,artist,album,release_date,spotify_uri,language,danceability,energy,valence,tempo,speechiness,acousticness
Piloo,Vilayat Khan,Instrumental India,2003-01-01,spotify:track:3q9b6EvyIZio8HbbwPBu0q,Hindi,0.404,0.28,0.504,97.061,0.0359,0.808
Celestial Wisdom,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:2oW6zWc3GsPx1h5CXTHAsr,Hindi,0.606,0.846,0.924,113.076,0.0279,0.0713
Toni,Zakir Hussain,Making Music,1987-05-01,spotify:track:1tpbSI4KJh14gpO9OftOeS,Hindi,0.331,0.00359,0.141,57.514,0.0429,0.982
Guru–Shishya,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:0XwbZWVGpIiTUhHceoVv1v,Hindi,0.298,0.502,0.265,80.729,0.0263,0.187
Sadra in Sankara Karan,Ali Akbar Khan,Legacy,1996,spotify:track:2yKyUhBjdzX8WoEV7I4UTH,Hindi,0.451,0.211,0.235,165.625,0.0705,0.932
Harmonic Guru Devotion,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:10ZHsEcozcDSqa1FLD1aGZ,Hindi,0.666,0.623,0.503,132.618,0.0302,0.717
Bhimpalasri Alap,Nikhil Banerjee,Afternoon Ragas,1970-01-01,spotify:track:46sFGgbcfrYemRIS5m1SXl,Hindi,0.261,0.0359,0.288,105.831,0.0318,0.885
Kab Hai,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:75Ok9SjHJDTtBig41fWMDY,Hindi,0.646,0.646,0.663,124.602,0.0267,0.78
Alap,Ravi Shankar,The Best Of Sitar,2017-01-17,spotify:track:6xqbQFQ1urblCswJjelqlq,Hindi,0.211,0.0413,0.126,78.905,0.0357,0.952
Art Of Living,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:6NPJbGefezG9XmoBZGPIph,Hindi,0.587,0.751,0.758,95.839,0.0278,0.0582
Hori in Kukubh Bilawal,Ali Akbar Khan,Legacy,1996,spotify:track:7H0uY6ub8o06i3LbStMooF,Hindi,0.341,0.178,0.177,128.382,0.0321,0.966
गुरु+पूर्णिमा,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:4PijZdukMDR4Rq35HnmMbB,Hindi,0.611,0.293,0.231,86.859,0.0247,0.699
Raga Jhinjhoti - Alap,Satish Vyas,Cutting Edge,2009-06-01,spotify:track:5TwyVQzzKcTVSNqDC9ojWP,Hindi,0.309,0.113,0.0514,88.298,0.0368,0.815
Sadhguru,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:1TKZoO1P4oN3Kjm9qQvPMp,Hindi,0.248,0.372,0.0977,129.895,0.0318,0.728
"Raga Todi/Khayal,""Aaj more mana lago langarawa"": Tala - Teental",Bhimsen Joshi,Indian Classical Music,1987,spotify:track:3713K3nFuf9PmiUWjaBdZX,Hindi,0.197,0.217,0.227,173.201,0.0423,0.742
Blissful Guru Puja,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:38JFdOirkueKLQ0a5DNlDK,Hindi,0.46,0.298,0.0654,153.406,0.0266,0.866
Ragmala,Rais Khan,Rag-Rang,1995,spotify:track:2V8ULLonTZZu6JNcLqOpmp,Hindi,0.309,0.141,0.0811,131.096,0.0325,0.953
गुरु पूर्णिमा भजन,Hindi Band,गुरु पूर्णिमा Guru Purnima 2023 - Indian And Hindi Classical Music,2023-05-12,spotify:track:1us0FfgtYHgJTcsinRWLih,Hindi,0.177,0.318,0.411,132.803,0.0404,0.85
Raga Dhani,Baluji Shrivastav,The Art of the Indian Dilruba,2013-05-28,spotify:track:59gea5yN0eH2Xj73JWcsp7,Hindi,0.371,0.481,0.19,123.936,0.0546,0.87
Baiyan Na Dharo,Lata Mangeshkar,Hindi Film Classical Songs,2023-10-27,spotify:track:0Fo83rvZRqVWc6sE9cU4Ag,Hindi,0.287,0.666,0.634,166.635,0.0984,0.88
Raga Tilak Kamodi,Vishwa Mohan Bhatt,Guitar A La Hindustan,1992-03-12,spotify:track:1Mc58bywNOJT8vrMYunODv,Hindi,0.332,0.522,0.289,84.896,0.05,0.759
Kuhu Kuhu Bole Koyalia,Lata Mangeshkar,Hindi Film Classical Songs,2023-10-27,spotify:track:3mRirOPlYrdcP4GuxNzb7A,Hindi,0.549,0.153,0.739,107.034,0.19,0.987
Bahar,Buddhadev DasGupta,The Raga Guide,1999-08-10,spotify:track:3Sb4ei8lF0tqoA9OL6pqyY,Hindi,0.466,0.484,0.115,133.326,0.0386,0.798
Ja Re Badra Bairi Ja,Lata Mangeshkar,Hindi Film Classical Songs,2023-10-27,spotify:track:2mDKswBTDQxQSwfBXAqwsr,Hindi,0.725,0.289,0.725,113.962,0.0717,0.962
Rag Bhupali,Sultan Khan,Ustad Sultan Khan - Sarangi,1991-01-01,spotify:track:2EKR7RSzuGIVNlh3ZKWNVa,Hindi,0.271,0.15,0.307,83.63,0.059,0.819
